,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
28,0.02388620376586914,0.007370882355430949,0.0008555412292480469,2.4469506369462988e-05,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 15}",0.4589800443458982,0.5094235033259424,0.5795454545454546,0.5299418604651165,0.5200581395348838,0.5193955231760111,0.03878777390471551,194,0.5357142857142857,0.5491539944313557,0.5792890591741167,0.5125220458553792,0.517089947089947,0.5387538664530169,0.024157555240570325
29,0.03709840774536133,0.007482059771829152,0.0008362293243408203,1.0525687488067905e-05,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 20}",0.6344235033259426,0.5573725055432374,0.5522727272727272,0.553779069767442,0.4735465116279071,0.5546704597633414,0.05089781835338184,49,0.622295994859713,0.5858677803955166,0.5330991911451682,0.5483245149911816,0.6249911816578483,0.5829157326098856,0.03743822429932267
30,0.030039644241333006,0.0056833220087478585,0.0008501529693603516,2.4798924874242583e-05,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 25}",0.41518847006651904,0.44262749445676286,0.6170454545454545,0.489825581395349,0.47906976744186053,0.48848687885663217,0.06954342699947966,328,0.5536517455557936,0.5959163275505104,0.5557684120902513,0.5774250440917107,0.5594885361552028,0.5684500130886938,0.016093908203472444
31,0.04232978820800781,0.02032851564557494,0.0008702754974365234,4.581668191143947e-05,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 30}",0.5839800443458981,0.5049889135254989,0.5159090909090909,0.5142441860465118,0.4781976744186047,0.5196938082715168,0.03505945300533468,192,0.6869957878203755,0.5469586635253803,0.5151128139633888,0.5001234567901234,0.6501234567901234,0.5798628357778782,0.07489678593413483
32,0.0430844783782959,0.008806802347730564,0.0008778095245361329,4.7717082747046956e-06,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 35}",0.5726164079822618,0.5995011086474503,0.6056818181818182,0.5595930232558141,0.5665697674418605,0.5809018411159648,0.01835857881777159,11,0.6535303776683087,0.6657207110730349,0.640485312899106,0.6232627865961199,0.5685185185185185,0.6303035413510176,0.03395435636915216
33,0.031354331970214845,0.010345466500447646,0.0008864879608154296,5.440028646687813e-05,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 40}",0.540188470066519,0.5376940133037694,0.5284090909090908,0.5872093023255817,0.5656976744186046,0.5516610804585848,0.021515374933854758,60,0.5329299635896337,0.6064824730491897,0.5470412941677311,0.5985714285714285,0.6194885361552027,0.580902739106637,0.03436088984296962
34,0.03018646240234375,0.012094535493881836,0.0008617401123046875,2.147281959790825e-05,0.1,"(50,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 45}",0.5279933481152994,0.56069844789357,0.5806818181818181,0.36627906976744196,0.5252906976744186,0.5126580144897644,0.07553802680353437,231,0.621831941172271,0.5012850717498394,0.5117071094082589,0.5136860670194002,0.5756261022927689,0.5448272583285076,0.04656378430090264
35,0.02781534194946289,0.00717785460900447,0.0008663654327392579,1.8801175782143685e-05,0.1,"(50,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 50}",0.46757206208425733,0.4587028824833704,0.49090909090909096,0.5328488372093024,0.4790697674418605,0.4856166145491869,0.025834629080366732,340,0.48266937959591627,0.4790997358463625,0.46519795657726704,0.5576366843033509,0.5539858906525573,0.5077179293950909,0.03971645822068236
36,0.030502510070800782,0.006066189231710861,0.0008698463439941406,7.875178963928119e-06,0.1,"(50,)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 55}",0.558758314855876,0.49140798226164084,0.5159090909090909,0.49622093023255825,0.49796511627906986,0.5121855732186136,0.024888567041207888,235,0.5746412508031697,0.6207610480474048,0.478501489995743,0.54347442680776,0.4765961199294533,0.5387948671167062,0.05573022841327283
37,0.0356508731842041,0.0057582392454578,0.0008634567260742187,1.050081604652466e-05,0.1,"(50,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 60}",0.42239467849223955,0.6668514412416852,0.4988636363636364,0.5040697674418607,0.5450581395348838,0.527543052169045,0.0806172851086855,138,0.5257014349967872,0.5772827871778397,0.6437845891868882,0.5986948853615519,0.655731922398589,0.6002391238243312,0.04703382478100958
