,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
11,0.03405942916870117,0.0029822783602554592,0.0007230758666992188,7.715549391453892e-05,0.1,"(25, 25)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 4}",0.5717592592592591,0.5995370370370368,0.5262345679012345,0.46875000000000006,0.5145833333333334,0.5363430351958076,0.04557150508381775,21,0.5239712732919254,0.5245212215320911,0.5287267080745341,0.5466008771929826,0.510561790505676,0.5268763741194419,0.011598549480532334
12,0.07479534149169922,0.02717613109444173,0.001447296142578125,0.0005337597791340229,0.1,"(100, 25, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 2}",0.5439814814814812,0.5756172839506171,0.5941358024691358,0.4979166666666668,0.6270833333333333,0.56776697825933,0.043993356221352045,17,0.6028079710144927,0.6220885093167701,0.5777691511387163,0.5950238648090815,0.554905185758514,0.590518936407515,0.02279846023238062
13,0.09782366752624512,0.007158767473345055,0.001925516128540039,0.000702022449899411,0.1,"(100, 25, 100)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 3}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,41,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
14,0.07816162109375,0.011930069477147866,0.001233530044555664,0.0003065798690230929,0.1,"(100, 25, 100)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 4}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,41,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
15,0.04634580612182617,0.0018226676864893303,0.0007607936859130859,3.220222230831202e-05,0.01,"(50, 50)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.5054012345679011,0.48842592592592565,0.4999999999999999,0.4937500000000001,0.5000000000000001,0.49751788116988876,0.005861573542449003,56,0.47444358178053836,0.4786490683229813,0.5,0.5208333333333333,0.49845201238390097,0.49447559916415085,0.016690247548472512
16,0.07607393264770508,0.02324755938115731,0.001024150848388672,0.0002587814895066147,0.01,"(50, 50)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.48765432098765404,0.5563271604938269,0.47530864197530853,0.5166666666666667,0.5208333333333334,0.5113297570993555,0.028340009404283335,29,0.49854425465838514,0.5932971014492754,0.5010998964803313,0.6105037409700724,0.5385706914344686,0.5484031369985066,0.04624312869007966
17,0.05662040710449219,0.007816233855902731,0.0009321212768554687,0.00012970124973052827,0.01,"(50, 50)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.4999999999999997,0.4999999999999997,0.5293209876543209,0.4937500000000001,0.5000000000000001,0.5046437929325118,0.012601764436322918,37,0.500097049689441,0.5052083333333334,0.49534161490683226,0.5208333333333333,0.5000000000000001,0.504296066252588,0.008838365889396372
18,0.02401566505432129,0.0016645178031258884,0.0007723808288574219,0.000134306719530683,0.01,"(50,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,41,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
19,0.021654415130615234,0.001928820476786415,0.0007332324981689453,0.00020323869237586872,0.01,"(50,)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.520833333333333,0.4999999999999997,0.5501543209876543,0.48750000000000004,0.4937500000000001,0.5105233340414984,0.02280899888952661,33,0.5036555383022774,0.5229360766045549,0.5088638716356108,0.5183017285861713,0.5167537409700722,0.5141021912197374,0.006917758457853059
20,0.05820322036743164,0.0016222782777702558,0.0007706165313720703,0.0002599081142385618,0.01,"(50,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.5108024691358022,0.5964506172839504,0.5462962962962962,0.5541666666666667,0.6687500000000001,0.5751549111252743,0.054029789013275924,13,0.5855331262939958,0.6460274327122154,0.5553830227743272,0.6596362229102167,0.5878482972136223,0.6068856203808755,0.03946029340265245
21,0.03468999862670898,0.004557034350330667,0.0007195472717285156,9.62881702351892e-05,0.01,"(25,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 2}",0.6766975308641974,0.7415123456790123,0.6875,0.5375000000000001,0.7687500000000002,0.6825038949082927,0.07981911528317703,1,0.7424624741200828,0.7247347308488613,0.5610442546583851,0.6738583591331269,0.7252644478844169,0.6854728533289747,0.0663175022812494
22,0.03769626617431641,0.0041991078128549,0.0007031917572021485,9.057278000998367e-05,0.01,"(25,)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 3}",0.5578703703703701,0.6365740740740738,0.6774691358024689,0.5687500000000001,0.76875,0.6417799730897245,0.07707818830386025,9,0.6517210144927535,0.6499741200828157,0.6388134057971016,0.6706172600619196,0.6327560629514963,0.6487763726772174,0.012984921322695662
23,0.023639726638793945,0.004710895673780027,0.0006597042083740234,0.0001043557875609026,0.01,"(25,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 4}",0.520833333333333,0.4629629629629627,0.556327160493827,0.5166666666666667,0.5083333333333334,0.513026697825933,0.029981038805428344,25,0.5084109730848861,0.5485248447204969,0.5032026397515529,0.5694014447884417,0.539280185758514,0.5337640176207784,0.024880156861348687
24,0.047137880325317384,0.0006202529531628239,0.0006543636322021484,2.424847056406235e-06,0.01,"(25, 25)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 2}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.48958333333333337,0.5000000000000001,0.49792861695347346,0.004157677116998474,53,0.5,0.5,0.5,0.5938951238390093,0.5000000000000001,0.5187790247678018,0.037558049535603724
25,0.032528018951416014,0.004049193744250265,0.0006528377532958984,1.2870540684346259e-05,0.01,"(25, 25)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 3}",0.6049382716049381,0.6612654320987652,0.7129629629629629,0.5520833333333334,0.8020833333333335,0.6666268323773104,0.08636237744585913,5,0.6914466873706003,0.6852355072463768,0.6591938405797101,0.6606198400412796,0.6483810629514963,0.6689753876378927,0.016486181177815674
26,0.030990123748779297,0.008258255901878963,0.0006512641906738281,9.371518333584095e-06,0.01,"(25, 25)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 4}",0.5717592592592591,0.5995370370370368,0.5054012345679011,0.46875000000000006,0.5208333333333334,0.5334032646413143,0.04683478583685335,22,0.5239712732919254,0.5245212215320911,0.5287267080745341,0.5466008771929826,0.5333623581011352,0.5314364876385337,0.008301336319496855
27,0.05875701904296875,0.002332850431629374,0.0010204315185546875,0.0001081755303581117,0.01,"(100, 25, 100)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 2}",0.5439814814814812,0.5694444444444442,0.5941358024691358,0.4979166666666668,0.6270833333333333,0.5665276892571346,0.04384144034456399,19,0.6028079710144927,0.6220885093167701,0.5777691511387163,0.5929115067079463,0.554905185758514,0.5900964647872879,0.02273053693262428
28,0.05791387557983398,0.0025769514296779907,0.0010561466217041016,0.00010855388252186375,0.01,"(100, 25, 100)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 3}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,41,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
29,0.07332401275634766,0.013543588731100445,0.0011011123657226562,0.00018301533179191135,0.01,"(100, 25, 100)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 4}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,41,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
30,0.05212016105651855,0.0027237750782260336,0.0008600234985351562,0.00011209653593834594,0.001,"(50, 50)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.5054012345679011,0.48842592592592565,0.4999999999999999,0.4937500000000001,0.5000000000000001,0.49751788116988876,0.005861573542449003,56,0.47444358178053836,0.4786490683229813,0.5,0.5208333333333333,0.5036603457172343,0.49551726583081745,0.01706425606977589
31,0.06362414360046387,0.01777988056843706,0.0008645057678222656,0.000133932429944972,0.001,"(50, 50)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.48765432098765404,0.5563271604938269,0.47530864197530853,0.5166666666666667,0.5208333333333334,0.5113297570993555,0.028340009404283335,29,0.49854425465838514,0.5932971014492754,0.5010998964803313,0.6105037409700724,0.5385706914344686,0.5484031369985066,0.04624312869007966
32,0.03918366432189942,0.0011176872007671757,0.0008863449096679687,0.0002388402357350951,0.001,"(50, 50)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.4999999999999997,0.4999999999999997,0.5293209876543209,0.4937500000000001,0.5000000000000001,0.5046437929325118,0.012601764436322918,37,0.500097049689441,0.5052083333333334,0.49534161490683226,0.5208333333333333,0.5000000000000001,0.504296066252588,0.008838365889396372
33,0.017669010162353515,0.0014804866887687326,0.0006703853607177735,5.709144830702138e-05,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,41,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
34,0.020256805419921874,0.003104010769687488,0.0008467674255371094,0.0001713279028172233,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.520833333333333,0.4999999999999997,0.5501543209876543,0.48750000000000004,0.4937500000000001,0.5105233340414984,0.02280899888952661,33,0.5036555383022774,0.5229360766045549,0.5088638716356108,0.5183017285861713,0.5167537409700722,0.5141021912197374,0.006917758457853059
35,0.05411238670349121,0.0038420684872543472,0.0007106781005859375,8.870765583734343e-05,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.5108024691358022,0.5964506172839504,0.5462962962962962,0.5541666666666667,0.6687500000000001,0.5751549111252743,0.054029789013275924,13,0.5855331262939958,0.6460274327122154,0.5553830227743272,0.6596362229102167,0.5878482972136223,0.6068856203808755,0.03946029340265245
